# AGI Timeline Forecasts Data
# For errors or questions, contact: nathan@goodhartlabs.com
#
# Downloaded: 2026-02-25T07:25:04.278Z
#
Date,Metaculus (Weak AGI),Metaculus (Full AGI),Metaculus (Turing),Manifold,Confidence Interval Lower,Confidence Interval Upper
2020-05-28,2041,,,,2027,2060
2020-05-29,2041,,,,2027,2060
2020-05-30,2041,,,,2027,2060
2020-05-31,2041,,,,2027,2060
2020-06-01,2041,,,,2027,2060
2020-06-02,2041,,,,2027,2060
2020-06-03,2041,,,,2027,2060
2020-06-04,2041,,,,2027,2060
2020-06-11,2043,,,,2027,2060
2020-06-12,2043,,,,2027,2060
2020-06-13,2043,,,,2027,2060
2020-06-14,2043,,,,2027,2060
2020-06-15,2043,,,,2027,2060
2020-06-16,2043,,,,2027,2060
2020-06-17,2043,,,,2027,2060
2020-06-18,2043,,,,2027,2060
2020-06-19,2043,,,,2027,2060
2020-06-26,2044,,,,2027,2060
2020-06-27,2044,,,,2027,2060
2020-06-28,2044,,,,2027,2060
2020-06-29,2044,,,,2027,2060
2020-06-30,2044,,,,2027,2060
2020-07-04,2044,,,,2028,2060
2020-07-05,2044,,,,2028,2060
2020-07-06,2044,,,,2028,2060
2020-07-07,2044,,,,2028,2060
2020-07-08,2044,,,,2028,2060
2020-07-09,2044,,,,2028,2060
2020-07-10,2043,,,,2028,2060
2020-07-11,2043,,,,2028,2060
2020-07-12,2043,,,,2028,2060
2020-07-13,2043,,,,2028,2060
2020-07-14,2043,,,,2028,2060
2020-07-15,2043,,,,2028,2060
2020-07-16,2036,,,,2026,2060
2020-07-17,2036,,,,2026,2060
2020-07-18,2036,,,,2026,2060
2020-07-19,2036,,,,2026,2060
2020-07-23,2036,,,,2026,2060
2020-07-24,2036,,,,2026,2060
2020-07-25,2036,,,,2026,2060
2020-07-26,2036,,,,2026,2060
2020-07-27,2036,,,,2026,2060
2020-07-28,2036,,,,2026,2060
2020-07-29,2036,,,,2026,2060
2020-07-30,2036,,,,2026,2060
2020-07-31,2033,,,,2026,2060
2020-08-01,2033,,,,2026,2060
2020-08-02,2033,,,,2026,2060
2020-08-03,2033,,,,2026,2060
2020-08-04,2033,,,,2026,2060
2020-08-05,2033,,,,2026,2060
2020-08-06,2033,,,,2026,2060
2020-08-07,2033,,,,2026,2060
2020-08-08,2033,,,,2026,2060
2020-08-09,2033,,,,2026,2060
2020-08-10,2038,,,,2027,2060
2020-08-11,2038,,,,2027,2060
2020-08-12,2038,,,,2027,2060
2020-08-13,2038,,,,2027,2060
2020-08-14,2038,,,,2027,2060
2020-08-15,2038,,,,2027,2060
2020-08-16,2038,,,,2027,2060
2020-08-17,2038,,,,2027,2060
2020-08-18,2038,,,,2027,2060
2020-08-19,2033,,,,2026,2060
2020-08-20,2033,,,,2026,2060
2020-08-21,2033,,,,2026,2060
2020-08-22,2033,,,,2026,2060
2020-08-23,2034,,,,2026,2060
2020-08-24,2034,,,,2026,2060
2020-08-25,2034,,,,2026,2060
2020-08-26,2034,,,,2026,2060
2020-08-27,2034,,,,2026,2060
2020-08-28,2034,,,,2025,2060
2020-08-29,2034,,,,2025,2060
2020-08-30,2034,,,,2025,2060
2020-08-31,2034,,,,2025,2060
2020-09-01,2034,,,,2025,2060
2020-09-02,2035,,,,2026,2060
2020-09-03,2035,,,,2026,2060
2020-09-04,2035,,,,2026,2060
2020-09-05,2035,,,,2026,2060
2020-09-06,2035,,,,2026,2060
2020-09-07,2035,,,,2026,2060
2020-09-08,2035,,,,2026,2060
2020-09-09,2035,,,,2026,2060
2020-09-10,2035,,,,2026,2060
2020-09-11,2035,,,,2026,2060
2020-09-12,2035,,,,2026,2060
2020-09-13,2033,,,,2026,2060
2020-09-14,2033,,,,2026,2060
2020-09-15,2033,,,,2026,2060
2020-09-16,2033,,,,2026,2060
2020-09-17,2033,,,,2026,2060
2020-09-18,2035,,,,2026,2060
2020-09-19,2035,,,,2026,2060
2020-09-20,2035,,,,2026,2060
2020-09-21,2031,,,,2025,2060
2020-09-22,2031,,,,2025,2060
2020-09-23,2031,,,,2025,2060
2020-09-24,2031,,,,2025,2060
2020-09-25,2031,,,,2025,2060
2020-09-26,2031,,,,2025,2060
2020-09-27,2031,,,,2025,2060
2020-09-28,2031,,,,2025,2060
2020-09-29,2033,,,,2026,2060
2020-09-30,2033,,,,2026,2060
2020-10-01,2033,,,,2026,2060
2020-10-02,2033,,,,2026,2060
2020-10-03,2033,,,,2026,2060
2020-10-04,2034,,,,2026,2060
2020-10-05,2034,,,,2026,2060
2020-10-06,2034,,,,2026,2060
2020-10-07,2034,,,,2026,2060
2020-10-08,2033,,,,2027,2060
2020-10-09,2033,2036,,,2026,2060
2020-10-10,2033,2036,,,2026,2060
2020-10-11,2033,2036,,,2026,2060
2020-10-12,2033,2036,,,2026,2060
2020-10-13,2033,2036,,,2026,2060
2020-10-14,2033,2036,,,2026,2060
2020-10-15,2033,,,,2027,2060
2020-10-16,2033,,,,2027,2060
2020-10-17,2033,,,,2027,2060
2020-10-18,2033,,,,2027,2060
2020-10-19,2033,,,,2027,2060
2020-10-20,2033,,,,2027,2060
2020-10-21,2033,,,,2027,2060
2020-10-22,2033,,,,2027,2060
2020-10-23,2033,,,,2027,2060
2020-10-24,2033,,,,2027,2060
2020-10-25,2033,,,,2027,2060
2020-10-26,2033,,,,2027,2060
2020-10-27,2033,,,,2027,2060
2020-10-28,2033,,,,2026,2060
2020-10-29,2033,2032,,,2026,2060
2020-10-30,2033,2032,,,2026,2060
2020-10-31,2033,2032,,,2026,2060
2020-11-01,2033,2032,,,2026,2060
2020-11-02,2033,2032,,,2026,2060
2020-11-03,2033,,,,2026,2060
2020-11-04,2033,,,,2026,2060
2020-11-05,2033,,,,2027,2060
2020-11-06,2033,,,,2027,2060
2020-11-07,2033,2032,,,2026,2060
2020-11-08,2033,2032,,,2026,2060
2020-11-09,2032,2032,,,2026,2060
2020-11-10,2032,2032,,,2026,2060
2020-11-11,2032,2032,,,2026,2060
2020-11-12,2032,2032,,,2026,2060
2020-11-13,2032,2032,,,2026,2060
2020-11-14,2032,,,,2026,2060
2020-11-15,2032,,,,2026,2060
2020-11-16,2032,,,,2026,2060
2020-11-17,2032,,,,2026,2060
2020-11-18,2032,,,,2026,2060
2020-11-19,2033,,,,2026,2060
2020-11-20,2033,,,,2026,2060
2020-11-21,2033,2032,,,2026,2060
2020-11-22,2034,2032,,,2026,2060
2020-11-23,2034,2032,,,2026,2060
2020-11-24,2035,2032,,,2026,2060
2020-11-25,2035,2032,,,2026,2060
2020-11-26,2035,2032,,,2026,2060
2020-11-27,2035,2032,,,2026,2060
2020-11-28,2035,2032,,,2026,2060
2020-11-29,2035,2032,,,2026,2060
2020-11-30,2035,2032,,,2026,2060
2020-12-01,2035,2032,,,2026,2060
2020-12-02,2035,2032,,,2026,2060
2020-12-03,2035,2032,,,2026,2060
2020-12-04,2035,2032,,,2026,2060
2020-12-05,2035,2032,,,2026,2060
2020-12-06,2035,,,,2027,2060
2020-12-07,2035,,,,2027,2060
2020-12-08,2036,,,,2027,2060
2020-12-09,2036,,,,2027,2060
2020-12-10,2036,,,,2027,2060
2020-12-11,2036,,,,2027,2060
2020-12-12,2036,2032,,,2026,2060
2020-12-13,2036,2032,,,2026,2060
2020-12-14,2034,2032,,,2026,2058
2020-12-15,2034,2032,,,2026,2058
2020-12-16,2034,2032,,,2026,2058
2020-12-17,2034,2032,,,2026,2058
2020-12-18,2034,2032,,,2026,2058
2020-12-19,2034,2032,,,2026,2058
2020-12-20,2036,2032,,,2026,2060
2020-12-21,2036,2032,,,2026,2060
2020-12-22,2034,2033,,,2026,2060
2020-12-23,2034,2033,,,2026,2060
2020-12-24,2034,,,,2027,2060
2020-12-25,2034,,,,2027,2060
2020-12-26,2034,,,,2027,2060
2020-12-27,2034,,,,2027,2060
2020-12-28,2034,,,,2027,2060
2020-12-29,2034,,,,2027,2060
2020-12-30,2035,,,,2027,2060
2020-12-31,2035,,,,2027,2060
2021-01-01,2035,,,,2027,2060
2021-01-02,2035,,,,2027,2060
2021-01-03,2035,,,,2027,2060
2021-01-04,2035,,,,2027,2060
2021-01-05,2034,,,,2027,2060
2021-01-06,2034,,,,2027,2060
2021-01-07,2035,,,,2027,2060
2021-01-08,2035,,,,2027,2060
2021-01-09,2035,,,,2027,2060
2021-01-10,2035,2030,,,2026,2059
2021-01-11,2035,2030,,,2026,2059
2021-01-12,2034,,,,2027,2060
2021-01-13,2034,,,,2027,2060
2021-01-14,2034,,,,2027,2060
2021-01-15,2034,,,,2027,2060
2021-01-16,2034,,,,2027,2060
2021-01-17,2034,,,,2027,2060
2021-01-18,2034,,,,2027,2060
2021-01-19,2034,,,,2027,2060
2021-01-20,2035,,,,2027,2060
2021-01-21,2035,,,,2027,2060
2021-01-22,2035,2030,,,2026,2060
2021-01-23,2035,2030,,,2026,2060
2021-01-24,2039,2030,,,2026,2060
2021-01-25,2039,2030,,,2026,2060
2021-01-26,2039,2030,,,2026,2060
2021-01-27,2035,2030,,,2025,2060
2021-01-28,2035,,,,2027,2060
2021-01-29,2035,,,,2027,2060
2021-01-30,2035,,,,2027,2060
2021-01-31,2035,,,,2027,2060
2021-02-01,2035,2030,,,2025,2060
2021-02-02,2035,2030,,,2025,2060
2021-02-03,2035,2030,,,2025,2060
2021-02-04,2035,2030,,,2025,2060
2021-02-05,2035,2030,,,2025,2060
2021-02-06,2039,2030,,,2026,2060
2021-02-07,2039,2030,,,2026,2060
2021-02-08,2039,2030,,,2026,2060
2021-02-09,2036,2030,,,2025,2060
2021-02-10,2036,2030,,,2025,2060
2021-02-11,2036,,,,2027,2060
2021-02-12,2036,,,,2027,2060
2021-02-13,2036,2030,,,2025,2060
2021-02-14,2036,2030,,,2025,2060
2021-02-15,2036,2030,,,2025,2060
2021-02-16,2036,2030,,,2025,2060
2021-02-17,2039,2030,,,2026,2060
2021-02-18,2039,2030,,,2026,2060
2021-02-19,2039,2030,,,2026,2060
2021-02-20,2039,2030,,,2026,2060
2021-02-21,2039,2030,,,2026,2060
2021-02-22,2039,2030,,,2026,2060
2021-02-23,2039,2030,,,2026,2060
2021-02-24,2039,2030,,,2026,2060
2021-02-25,2034,2030,,,2025,2060
2021-02-26,2034,2030,,,2025,2060
2021-02-27,2034,2030,,,2025,2060
2021-02-28,2034,2030,,,2025,2060
2021-03-01,2034,2030,,,2025,2060
2021-03-02,2034,2030,,,2025,2060
2021-03-03,2034,2030,,,2025,2060
2021-03-04,2034,2030,,,2025,2060
2021-03-05,2039,2030,,,2026,2060
2021-03-06,2039,2030,,,2026,2060
2021-03-07,2039,2030,,,2026,2060
2021-03-08,2039,2030,,,2026,2060
2021-03-09,2039,2030,,,2026,2060
2021-03-10,2039,2030,,,2026,2060
2021-03-11,2037,,,,2027,2060
2021-03-12,2037,,,,2027,2060
2021-03-13,2037,,,,2027,2060
2021-03-14,2037,,,,2027,2060
2021-03-15,2037,,,,2027,2060
2021-03-16,2037,,,,2027,2060
2021-03-17,2039,,,,2027,2060
2021-03-18,2037,,,,2027,2060
2021-03-19,2037,,,,2027,2060
2021-03-20,2037,,,,2027,2060
2021-03-21,2037,,,,2027,2060
2021-03-22,2037,,,,2027,2060
2021-03-23,2037,,,,2027,2060
2021-03-24,2037,2030,,,2025,2060
2021-03-25,2037,2030,,,2025,2060
2021-03-26,2037,2030,,,2025,2060
2021-03-27,2036,2030,,,2025,2060
2021-03-28,2036,2030,,,2025,2060
2021-03-29,2036,,,,2027,2060
2021-03-30,2036,,,,2027,2060
2021-03-31,2036,,,,2027,2060
2021-04-01,2037,,,,2027,2060
2021-04-02,2037,,,,2027,2060
2021-04-03,2037,,,,2027,2060
2021-04-04,2039,,,,2027,2060
2021-04-05,2039,,,,2027,2060
2021-04-06,2039,,,,2027,2060
2021-04-07,2039,,,,2027,2060
2021-04-08,2036,2030,,,2025,2060
2021-04-09,2036,2030,,,2025,2060
2021-04-10,2036,2030,,,2025,2060
2021-04-11,2036,2030,,,2025,2060
2021-04-12,2036,2030,,,2025,2060
2021-04-13,2036,2030,,,2025,2060
2021-04-14,2036,2030,,,2025,2060
2021-04-15,2036,2030,,,2025,2060
2021-04-16,2038,,,,2027,2060
2021-04-17,2038,,,,2027,2060
2021-04-18,2038,,,,2027,2060
2021-04-19,2038,,,,2027,2060
2021-04-20,2038,,,,2027,2060
2021-04-21,2038,2030,,,2025,2060
2021-04-22,2038,,,,2027,2060
2021-04-23,2039,,,,2028,2060
2021-04-24,2039,,,,2028,2060
2021-04-25,2039,,,,2028,2060
2021-04-26,2039,,,,2028,2060
2021-04-27,2039,,,,2028,2060
2021-04-28,2039,,,,2028,2060
2021-04-29,2039,,,,2028,2060
2021-04-30,2039,,,,2028,2060
2021-05-01,2039,,,,2027,2060
2021-05-02,2039,,,,2027,2060
2021-05-03,2039,,,,2027,2060
2021-05-04,2039,,,,2027,2060
2021-05-05,2039,,,,2027,2060
2021-05-06,2039,2030,,,2026,2060
2021-05-07,2040,2030,,,2026,2060
2021-05-08,2040,2030,,,2026,2060
2021-05-09,2040,2030,,,2026,2060
2021-05-10,2040,,,,2027,2060
2021-05-11,2040,,,,2027,2060
2021-05-12,2040,,,,2027,2060
2021-05-13,2040,,,,2027,2060
2021-05-14,2040,,,,2027,2060
2021-05-15,2040,,,,2027,2060
2021-05-16,2038,,,,2027,2060
2021-05-17,2038,,,,2027,2060
2021-05-18,2038,,,,2027,2060
2021-05-19,2038,,,,2027,2060
2021-05-20,2038,,,,2027,2060
2021-05-21,2039,,,,2027,2060
2021-05-22,2039,,,,2027,2060
2021-05-23,2039,,,,2027,2060
2021-05-24,2040,2030,,,2026,2060
2021-05-25,2040,2030,,,2026,2060
2021-05-26,2040,2030,,,2026,2060
2021-05-27,2040,2030,,,2026,2060
2021-05-28,2038,2030,,,2026,2060
2021-05-29,2038,2030,,,2026,2060
2021-05-30,2038,,,,2027,2060
2021-05-31,2038,,,,2027,2060
2021-06-01,2038,,,,2027,2060
2021-06-02,2038,,,,2027,2060
2021-06-03,2038,,,,2027,2060
2021-06-04,2038,,,,2027,2060
2021-06-05,2039,,,,2027,2060
2021-06-06,2039,2029,,,2025,2060
2021-06-07,2039,2029,,,2025,2060
2021-06-08,2039,2029,,,2025,2060
2021-06-09,2039,2029,,,2025,2060
2021-06-10,2039,2029,,,2025,2060
2021-06-11,2040,,,,2027,2060
2021-06-12,2040,,,,2027,2060
2021-06-13,2040,,,,2027,2060
2021-06-14,2040,,,,2027,2060
2021-06-15,2040,,,,2027,2060
2021-06-16,2040,,,,2027,2060
2021-06-17,2040,,,,2027,2060
2021-06-18,2040,,,,2027,2060
2021-06-19,2040,,,,2027,2060
2021-06-20,2040,,,,2027,2060
2021-06-21,2040,,,,2027,2060
2021-06-22,2041,,,,2027,2060
2021-06-23,2040,,,,2027,2060
2021-06-24,2040,,,,2027,2060
2021-06-25,2040,,,,2027,2060
2021-06-26,2040,2029,,,2026,2060
2021-06-27,2040,2029,,,2026,2060
2021-06-28,2040,2029,,,2026,2060
2021-06-29,2040,2029,,,2026,2060
2021-06-30,2041,2029,,,2026,2060
2021-07-01,2041,2029,,,2026,2060
2021-07-02,2041,2029,,,2026,2060
2021-07-03,2041,2029,,,2025,2060
2021-07-04,2041,2029,,,2025,2060
2021-07-05,2041,2029,,,2025,2060
2021-07-06,2041,2029,,,2025,2060
2021-07-07,2041,2029,,,2025,2060
2021-07-08,2041,2029,,,2025,2060
2021-07-09,2041,2029,,,2025,2060
2021-07-10,2041,2029,,,2025,2060
2021-07-11,2041,2029,,,2026,2060
2021-07-12,2041,,,,2027,2060
2021-07-13,2041,,,,2027,2060
2021-07-14,2041,,,,2027,2060
2021-07-15,2041,,,,2027,2060
2021-07-16,2041,,,,2027,2060
2021-07-17,2041,,,,2027,2060
2021-07-18,2041,,,,2027,2060
2021-07-19,2041,,,,2027,2060
2021-07-20,2042,,,,2027,2060
2021-07-21,2042,,,,2027,2060
2021-07-22,2042,,,,2027,2060
2021-07-23,2042,,,,2027,2060
2021-07-24,2041,,,,2027,2060
2021-07-25,2041,,,,2027,2060
2021-07-26,2041,,,,2027,2060
2021-07-27,2041,2029,,,2025,2060
2021-07-28,2041,2029,,,2025,2060
2021-07-29,2041,2029,,,2025,2060
2021-07-30,2041,,,,2027,2060
2021-07-31,2041,,,,2027,2060
2021-08-01,2041,,,,2027,2060
2021-08-02,2041,,,,2027,2060
2021-08-03,2045,,,,2028,2060
2021-08-04,2041,,,,2028,2060
2021-08-05,2041,,,,2028,2060
2021-08-06,2041,,,,2028,2060
2021-08-07,2041,,,,2028,2060
2021-08-08,2041,,,,2028,2060
2021-08-09,2043,,,,2027,2060
2021-08-10,2043,2029,,,2026,2060
2021-08-11,2043,2029,,,2026,2060
2021-08-12,2043,2029,,,2026,2060
2021-08-13,2043,2029,,,2026,2060
2021-08-14,2043,2029,,,2026,2060
2021-08-15,2043,2029,,,2026,2060
2021-08-16,2042,2029,,,2025,2060
2021-08-17,2042,2029,,,2025,2060
2021-08-18,2042,2029,,,2025,2060
2021-08-19,2042,2029,,,2025,2060
2021-08-20,2042,2029,,,2025,2060
2021-08-21,2042,2029,,,2025,2060
2021-08-22,2042,2029,,,2025,2060
2021-08-23,2042,2029,,,2025,2060
2021-08-24,2042,2029,,,2025,2060
2021-08-25,2042,2029,,,2025,2060
2021-08-26,2041,2029,,,2026,2060
2021-08-27,2041,2029,,,2026,2060
2021-08-28,2041,2029,,,2026,2060
2021-08-29,2041,2029,,,2026,2060
2021-08-30,2041,2029,,,2026,2060
2021-08-31,2041,2029,,,2026,2060
2021-09-01,2041,2029,,,2026,2060
2021-09-02,2041,2029,,,2026,2060
2021-09-03,2041,2029,,,2026,2060
2021-09-04,2041,2029,,,2026,2060
2021-09-05,2041,2029,,,2026,2060
2021-09-06,2041,2029,,,2026,2060
2021-09-07,2041,2029,,,2026,2060
2021-09-08,2041,2029,,,2026,2060
2021-09-09,2041,2029,,,2026,2060
2021-09-10,2041,2029,,,2026,2060
2021-09-11,2042,2029,,,2026,2060
2021-09-12,2042,2029,,,2026,2060
2021-09-13,2042,2029,,,2026,2060
2021-09-14,2042,2029,,,2026,2060
2021-09-15,2042,2029,,,2026,2060
2021-09-16,,2029,,,2026,2060
2021-09-25,2042,,,,2028,2060
2021-09-26,2042,,,,2028,2060
2021-09-27,2042,2029,,,2026,2060
2021-09-28,2042,2029,,,2026,2060
2021-09-29,2042,2029,,,2026,2060
2021-09-30,2042,2029,,,2026,2060
2021-10-01,2042,2029,,,2026,2060
2021-10-02,2042,2029,,,2026,2060
2021-10-03,2042,2029,,,2026,2060
2021-10-04,2042,2029,,,2026,2060
2021-10-05,2042,2029,,,2026,2060
2021-10-06,2042,2029,,,2026,2060
2021-10-07,2042,2029,,,2026,2060
2021-10-08,,2029,,,2026,2060
2021-10-09,,2029,,,2026,2060
2021-10-10,,2029,,,2026,2060
2021-10-11,,2029,,,2026,2060
2021-10-12,,2029,,,2026,2060
2021-10-13,,2029,,,2026,2060
2021-10-14,,2029,,,2026,2060
2021-10-15,,2029,,,2026,2060
2021-10-16,,2029,,,2026,2060
2021-10-17,2042,2029,,,2026,2060
2021-10-18,2042,2029,,,2026,2060
2021-10-19,,2029,,,2026,2060
2021-10-20,,2029,,,2026,2060
2021-10-21,,2029,,,2026,2060
2021-10-22,,2029,,,2026,2060
2021-10-23,,2029,,,2026,2060
2021-10-24,,2029,,,2026,2060
2021-10-25,,2029,,,2026,2060
2021-10-26,,2029,,,2026,2060
2021-10-27,,2029,,,2026,2060
2021-10-28,,2029,,,2026,2060
2021-10-29,,2029,,,2026,2060
2021-10-30,,2029,,,2026,2060
2021-10-31,,2029,,,2026,2060
2021-11-01,2043,2029,,,2026,2060
2021-11-02,2043,2029,,,2026,2060
2021-11-03,,2029,,,2026,2060
2021-11-04,,2029,,,2026,2060
2021-11-05,,2029,,,2026,2060
2021-11-06,,2029,,,2026,2060
2021-11-07,,2029,,,2026,2060
2021-11-08,,2029,,,2026,2060
2021-11-09,,2029,,,2026,2060
2021-11-10,2042,,,,2028,2060
2021-11-11,2042,,,,2028,2060
2021-11-12,2042,,,,2028,2060
2021-11-13,2042,,,,2028,2060
2021-11-14,2042,,,,2028,2060
2021-11-15,2042,2029,,,2026,2060
2021-11-16,2042,2029,,,2026,2060
2021-11-17,2042,2029,,,2026,2060
2021-11-18,,2029,,,2026,2060
2021-11-19,,2029,,,2026,2060
2021-11-20,,2029,,,2026,2060
2021-11-21,,2029,,,2026,2060
2021-11-22,,2029,,,2026,2060
2021-11-23,,2029,,,2026,2060
2021-11-24,,2029,,,2026,2060
2021-11-25,,2029,,,2026,2060
2021-11-26,,2029,,,2026,2060
2021-11-27,2042,2029,,,2026,2060
2021-11-28,2042,2029,,,2026,2060
2021-11-29,2042,2029,,,2026,2060
2021-11-30,2042,2029,,,2026,2060
2021-12-01,2043,2029,,,2026,2060
2021-12-02,2043,2029,,,2026,2060
2021-12-03,2043,2029,,,2026,2060
2021-12-04,2043,2029,,,2026,2060
2021-12-05,2043,2029,,,2026,2060
2021-12-06,2043,2029,,,2026,2060
2021-12-07,2042,2029,,,2026,2060
2021-12-08,2042,2029,,,2026,2060
2021-12-09,2042,2029,,,2026,2060
2021-12-10,2042,2029,,,2026,2060
2021-12-11,2042,2029,,,2026,2060
2021-12-12,2042,2029,,,2026,2060
2021-12-13,2042,2029,,,2026,2060
2021-12-14,2042,2029,,,2026,2060
2021-12-15,2042,2029,,,2026,2060
2021-12-16,2042,2029,,,2026,2060
2021-12-17,2042,2029,,,2026,2060
2021-12-18,2042,2029,,,2026,2060
2021-12-19,2042,2029,,,2026,2060
2021-12-20,2042,2029,,,2026,2060
2021-12-21,2042,2029,,,2026,2060
2021-12-22,2042,2029,,,2026,2060
2021-12-23,2041,2029,,,2025,2060
2021-12-24,2041,2029,,,2025,2060
2021-12-25,2041,2029,,,2025,2060
2021-12-26,2041,2029,,,2025,2060
2021-12-27,2041,2029,,,2025,2060
2021-12-28,2041,2029,,,2025,2060
2021-12-29,2041,2029,,,2025,2060
2021-12-30,2041,2029,,,2025,2060
2021-12-31,2041,2029,,,2025,2060
2022-01-01,2042,,,,2028,2060
2022-01-02,2042,,,,2028,2060
2022-01-03,2042,,,,2028,2060
2022-01-04,2042,,,,2028,2060
2022-01-05,2042,,,,2028,2060
2022-01-06,2039,,,,2027,2060
2022-01-07,2039,,,,2027,2060
2022-01-08,2039,,,,2027,2060
2022-01-09,2039,2029,,,2025,2060
2022-01-10,2039,2029,,,2025,2060
2022-01-11,2039,2029,,,2025,2060
2022-01-12,2039,2029,,,2025,2060
2022-01-13,2038,2029,,,2025,2060
2022-01-14,2038,,,,2027,2060
2022-01-15,2038,,,,2027,2060
2022-01-16,2038,,,,2027,2060
2022-01-17,2038,,,,2027,2060
2022-01-18,2038,,,,2027,2060
2022-01-19,2038,,,,2027,2060
2022-01-20,2041,,,,2028,2060
2022-01-21,2041,,,,2028,2060
2022-01-22,2041,,,,2028,2060
2022-01-23,2041,,,,2028,2060
2022-01-24,2041,,,,2028,2060
2022-01-25,2041,2029,,,2026,2060
2022-01-26,2039,2029,,,2025,2060
2022-01-27,2039,2029,,,2025,2060
2022-01-28,2039,,,,2027,2060
2022-01-29,2039,,,,2027,2060
2022-01-30,2041,,,,2028,2060
2022-01-31,2041,,,,2028,2060
2022-02-01,2041,,,,2028,2060
2022-02-02,2041,,,,2028,2060
2022-02-03,2040,,,,2027,2060
2022-02-04,2040,,,,2027,2060
2022-02-05,2040,,,,2027,2060
2022-02-06,2040,2029,,,2025,2060
2022-02-07,2040,2029,,,2025,2060
2022-02-08,2040,2029,,,2025,2060
2022-02-09,2040,2029,,,2025,2060
2022-02-10,2040,,,,2027,2060
2022-02-11,2040,,,,2027,2060
2022-02-12,2042,,,,2028,2060
2022-02-13,2042,,,,2028,2060
2022-02-14,2042,,,,2028,2060
2022-02-15,2042,,,,2028,2060
2022-02-16,2042,,,,2028,2060
2022-02-17,2042,,,,2028,2060
2022-02-18,2042,,,,2028,2060
2022-02-19,2042,,,,2028,2060
2022-02-20,2042,,,,2028,2060
2022-02-21,2042,,,,2028,2060
2022-02-22,2042,,,,2028,2060
2022-02-23,2042,2030,,,2026,2060
2022-02-24,2042,2030,,,2026,2060
2022-02-25,2042,,,,2028,2060
2022-02-26,2042,,,,2028,2060
2022-02-27,2041,,,,2028,2060
2022-02-28,2041,,,,2028,2060
2022-03-01,2041,,,,2028,2060
2022-03-02,2042,,,,2028,2060
2022-03-03,2042,,,,2028,2060
2022-03-04,2042,2030,,,2026,2060
2022-03-05,2044,2030,,,2026,2060
2022-03-06,2044,,,,2028,2060
2022-03-07,2044,,,,2028,2060
2022-03-08,2044,,,,2028,2060
2022-03-09,2044,,,,2028,2060
2022-03-10,2044,,,,2028,2060
2022-03-11,2044,,,,2028,2060
2022-03-12,2044,,,,2028,2060
2022-03-13,2044,,,,2028,2060
2022-03-14,2044,,,,2028,2060
2022-03-15,2044,,,,2028,2060
2022-03-16,2044,2030,,,2025,2060
2022-03-17,2044,2030,,,2025,2060
2022-03-18,2043,2030,,,2025,2060
2022-03-19,2043,2030,,,2025,2060
2022-03-20,2043,,,,2028,2060
